"门店分润","结算执行"
"资料","示例数据 · 原币元 · 截至 2026-09-30 · 未接正式分润、付款及授权来源"
"统计口径","分润不是渠道贡献、实际付款或预存余额。示例以业务毛利减规则排除的升舱毛利、尚未计入的共同扣项作为可分配基础，再按确认比例分配，门店或公司专属扣项各自承担；已计入基础的共同费用不重复扣除。规则、费用承担或金额缺失均待确认，不采用规则页百分比作为正式制度。汇总仅合计已确认基础与分润，待确认额为原送审金额，缺送审金额不补零；逐单记录保留缺项。已结算合计＝成功支付净额＋批准抵扣净额，失败不算支付，超付列待追回；应付减已结算为差额。调整保留原规则、原结果及确认增减，未确认调整不改原结果。渠道贡献只引用已确认费用，不将分润或付款再扣一遍。当前固定独立示例截至2026-10-31，不自动更新、审批或付款。"
"统计月份开始","2026-09"
"统计月份结束","2026-09"
"资料截止日","2026-09-30"
"结算公司","全部公司"
"门店","全部"
"原币","人民币"
"订单号","全部"
"查看范围示例","财务全部范围"
"排序","","升序"

"结付记录"
"记录号","分润确认号","结算公司","门店","原结算期间","原币","订单号","发生日期","结付方式","记录金额","本次有效结付","执行结果","确认依据"
"JF202609001","FR202609001","A公司（演示）","软件园门店","2026-09","CNY","KS202609000001","2026-09-23","付款","200","200","成功","付款回单示例"
"JF202609002","FR202609001","A公司（演示）","软件园门店","2026-09","CNY","KS202609000001","2026-09-24","抵扣","100","100","成功","批准抵扣确认示例"
"JF202609003","FR202609001","A公司（演示）","软件园门店","2026-09","CNY","KS202609000001","2026-09-25","付款","300","0","失败","失败回执示例"
"JF202609004","FR202609002","A公司（演示）","文灶门店","2026-09","CNY","KS202609000002","2026-09-25","付款","1000","1000","成功","付款回单示例"
