"成本构成","成本构成"
"资料","独立成本算例 · 资料截止 2026-09-30 · 金额单位：原币元 · 当前 2 项成本；未接正式成本来源"
"统计口径","按业务完成日期选取团期或服务成本，按资料截止日核对预计及结算确认。预计和结算为同一成本项的两个金额，不相加；差额＝结算成本－预计成本，正数表示超出预计。单位成本＝同公司、同币种、同成本项目、同计价单位的成本合计÷对应数量合计；数量是成本计价数量，不是去重出游人数。缺确认、缺金额或数量时不补零，零数量不计算单位成本。采购分配只取本业务承担额，不重复采购全额；预付和付款不计作结算成本。当前为截至2026-09-30的独立固定算例，刷新不改变来源，正式分类和预计版本待财务确认。"
"业务完成开始","2026-09-01"
"业务完成结束","2026-09-30"
"资料截止日","2026-09-30"
"成本承担公司","A公司（演示）"
"原币","人民币"
"成本项目","住宿"
"团期／服务","全部"
"供应商","全部"
"计价单位","全部单位"
"排序","","升序"

"费用明细"
"成本明细号","原币","成本承担公司","团期／服务","业务完成日期","成本项目","费用内容","供应商","计价单位","预计成本","结算成本","成本差额","预计数量","结算数量","预计单位成本","结算单位成本","领队姓名","预计版本","结算确认日","预计依据","结算依据","核对情况"
"CB202609003","CNY","A公司（演示）","EU20260918001 · 欧洲十国经典游","2026-09-28","住宿","巴黎酒店","欧洲酒店会务联盟","间夜","18000","19800","1800","30","33","600","600","不适用","出团预算V1（算例）","2026-09-29","成本预算确认（算例）","结算成本确认（算例）","预计与结算资料齐全"
"CB202609004","CNY","A公司（演示）","EU20260918001 · 欧洲十国经典游","2026-09-28","住宿","罗马酒店","欧洲酒店会务联盟","间夜","12000","13200","1200","20","22","600","600","不适用","出团预算V1（算例）","2026-09-29","成本预算确认（算例）","结算成本确认（算例）","预计与结算资料齐全"
