"门店分润","分润汇总"
"资料","示例数据 · 原币元 · 截至 2026-09-30 · 未接正式分润、付款及授权来源"
"统计口径","分润不是渠道贡献、实际付款或预存余额。示例以业务毛利减规则排除的升舱毛利、尚未计入的共同扣项作为可分配基础，再按确认比例分配，门店或公司专属扣项各自承担；已计入基础的共同费用不重复扣除。规则、费用承担或金额缺失均待确认，不采用规则页百分比作为正式制度。汇总仅合计已确认基础与分润，待确认额为原送审金额，缺送审金额不补零；逐单记录保留缺项。已结算合计＝成功支付净额＋批准抵扣净额，失败不算支付，超付列待追回；应付减已结算为差额。调整保留原规则、原结果及确认增减，未确认调整不改原结果。渠道贡献只引用已确认费用，不将分润或付款再扣一遍。当前固定独立示例截至2026-10-31，不自动更新、审批或付款。"
"统计月份开始","2026-09"
"统计月份结束","2026-09"
"资料截止日","2026-09-30"
"结算公司","B公司（演示）"
"门店","全部"
"原币","人民币"
"订单号","全部"
"查看范围示例","软件园渠道负责人"
"排序","","升序"

"分润汇总"
"结算公司","门店","原结算期间","原币","可分配基础（已确认）","门店分润（已确认）","公司留存（已确认）","待确认额","待确认笔数","核对情况"
